"filename", "language", "JSON", "C++", "JavaScript", "Markdown", "JavaScript JSX", "CMake", "XML", "PostCSS", "HTML", "Dotenv", "MS SQL", "Properties", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\recouvrementRoutesAdminRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\auth\authController.js", "JavaScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 173
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\auth\authRoutes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 33
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\commercant\commercantController.js", "JavaScript", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 171
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\commercant\commercantRoutes.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\livraison\livraisonController.js", "JavaScript", 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 36, 330
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\livraison\livraisonRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\livraison\trackingPublicRoutes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\livreur\livreurController.js", "JavaScript", 0, 0, 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 59, 558
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\livreur\livreurRoutes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 39
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\server.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\utils\mailer.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 57
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\utils\prismaClient.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\eslint.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
